state,year,first_name,last_name,party,sex,died,status,win_margin,region,population,election_age,death_age,lived_after
Alabama,1946,James,Folsom,Democrat,Male,1987-11-21,Challenger,77.33439421044898,South,2906000,38.072553045859,79.11567419575633,41.04312114989733
Alabama,1946,Lyman,Ward,Republican,Male,1948-12-17,Challenger,-77.33439421044898,South,2906000,78.54893908281998,80.66529774127311,2.116358658453114
Alabama,1950,Gordon,Persons,Democrat,Male,1965-05-29,Challenger,82.20656423844166,South,3058000,48.747433264887064,63.31006160164271,14.562628336755647
Alabama,1954,Tom,Abernethy,Republican,Male,1968-03-07,Challenger,-46.74816640597558,South,3014000,46.54620123203286,59.88227241615332,13.336071184120465
Alabama,1954,James,Folsom,Democrat,Male,1987-11-21,Challenger,46.74816640597558,South,3014000,46.072553045859,79.11567419575633,33.04312114989733
Alabama,1958,William,Longshore,Republican,Male,2013-05-24,Challenger,-77.47437492593909,South,3163000,33.270362765229294,87.81930184804928,54.548939082819984
Alabama,1962,George,Wallace,Democrat,Male,1998-09-13,Challenger,100,South,3323000,43.19780971937029,79.05270362765229,35.854893908282
Alabama,1966,James,Martin,Republican,Male,2017-10-30,Challenger,-34.301041416806584,South,3464000,48.17796030116359,99.16221765913758,50.98425735797399
Alabama,1966,Lurleen,Wallace,Democrat,Female,1968-05-07,Challenger,34.301041416806584,South,3464000,40.12867898699521,41.63175906913073,1.5030800821355237
Alabama,1970,George,Wallace,Democrat,Male,1998-09-13,Challenger,100,South,3449846,51.19780971937029,79.05270362765229,27.854893908281998
Alabama,1974,Elvin,Mccary,Republican,Male,1981-09-28,Challenger,-69.83351963888012,South,3627805,67.68788501026694,74.5845311430527,6.896646132785763
Alabama,1974,George,Wallace,Democrat,Male,1998-09-13,Incumbent,69.83351963888012,South,3627805,55.19780971937029,79.05270362765229,23.854893908281998
Alabama,1978,Guy,Hunt,Republican,Male,2009-01-30,Challenger,-47.39580342632493,South,3834120,45.385352498288846,75.62217659137578,30.236824093086927
