"RecipientID","age","male","race_1","race_2","race_3","race_4","race_5","race_5_TEXT","race_6","race_7","race_black","latino","educ_r","inc_r","DL_indiv","DL_house","auto_house","smartphone","commutetrip","tripfreq_1","city","optin","overall1_1","overall2_1","triprating_1","rating_1","rating_5","wait1","cr_rider","cr_line","cr_min_late","cr_min_travel","cr_min_benchmark","trx_time","next_train","prev_train","start_mode","start_line","hw_mean","hw_bench","hw_perf","hw_guess","hw_guess_min","hw_mean_min","traveltime_mean","traveltime_guess","traveltime_bench","traveltime_bench_guess","traveltime_perf","cityserv_comb","mayor_app_comb","treat_2","party","ideo","polinfo","voted","cr_min_late.1","hwtravel_delay","hwtravel_delay_log","delay_comb","delay_source","delay_line","delay_comb_log","delay_comb_dev","delay_comb_bin","delay_comb_bin2","hwtraveltime","waittraveltime_comb","waittravel_source","waittraveltime_comb_log","runningvar_comb","runningvar_comb_min"
"MLRP_00RqwRQ8iUK8o3r",0.75,1,0,0,0,0,0,"",1,NA,0,0,NA,1,1,3,1,1,0,NA,"2143",0,0.333333333333333,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_00wjKtG8lNsMSS9",1,0,0,0,0,0,0,"",1,NA,0,0,0.8,1,1,3,3,1,1,7,"1835",1,0.166666666666667,0.166666666666667,0.5,1,0.666666666666667,5,1,"Haverhill Line",0,72,72,NA,NA,NA,"Commuter Rail","Haverill Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.75,1,0,0.5,1,1,0,NA,NA,0,"CR","Haverhill Line",0,-27.6818181818182,0,0,NA,72,"CR",4.29045944114839,NA,NA
"MLRP_01WGNiovA7HDeFn",0.5,1,0,0,0,0,0,"",1,NA,0,1,1,1,1,3,3,1,1,7,"2301",1,0.833333333333333,0.833333333333333,0.833333333333333,1,1,15,1,"Middleborough/Lakeville Line",NA,NA,NA,NA,NA,NA,"Commuter Rail","Middleborough/Lakeville Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,0.75,1,-1,0,1,1,NA,NA,NA,NA,"CR","Middleborough/Lakeville Line",NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_01Y9tVxQonXoggB",1,0,0,0,0,0,0,"",1,NA,0,0,0.8,1,1,3,3,1,1,6,"1824",1,0.666666666666667,0.5,0.666666666666667,0.833333333333333,0.5,10,1,"Lowell Line",0,47,47,NA,NA,NA,"Commuter Rail","Lowell Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,0.25,0,-1,0.166666666666667,1,1,0,NA,NA,0,"CR","Lowell Line",0,-39.1363636363636,0,0,NA,47,"CR",3.87120101090789,NA,NA
"MLRP_03C9RqLCJO0kLC5",1,1,0,0,0,0,0,"",1,NA,0,0,NA,0.75,1,3,3,1,1,7,"1801",0,0.833333333333333,0.833333333333333,0.833333333333333,1,0.833333333333333,5,0,NA,NA,NA,NA,"2015-07-27 06:38:00",NA,NA,"Bus","354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_03qyeFsD7ImRgUd",1,1,0,0,0,0,0,"",1,NA,0,0,1,1,1,3,2,2,0,2,"02140-2527",1,0.833333333333333,0.833333333333333,0.833333333333333,1,0.666666666666667,4,0,NA,NA,NA,NA,"2015-07-21 12:05:00",NA,NA,"Subway","Green Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,0.75,1,-1,0,0.8,1,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_06BWFuhRIDn0B6Z",1,1,0,0,0,0,0,"",1,NA,0,0,NA,0.5,1,2,2,2,0,NA,"1906",0,0.666666666666667,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_06V0EDtDvTLHa0R",0.5,1,NA,NA,NA,NA,NA,"",1,NA,0,1,NA,1,1,3,3,1,0,4,"02472",0,0.333333333333333,0.166666666666667,0.666666666666667,0.666666666666667,0.5,15,0,NA,NA,NA,NA,"2015-07-21 09:13:00",NA,NA,"Bus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_07lB8P7TAv2sVU1",1,1,0,0,1,0,0,"",0,NA,1,0,NA,0.5,1,2,2,1,0,NA,"2122",0,0.666666666666667,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_08IdCq2GkH8q2sR",1,1,0,0,0,0,0,"",1,NA,0,0,NA,1,1,3,2,1,0,3,"2081",0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,15,1,"Franklin Line",0,59,59,NA,NA,NA,"Commuter Rail","Franklin Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,"CR","Franklin Line",0,-60.1363636363636,0,0,NA,59,"CR",4.0943445622221,NA,NA
"MLRP_08N47sU296D0a9f",NA,0,0,0,0,0,0,"",1,NA,0,0,NA,0.75,1,3,4,1,1,5,"2053",0,0.833333333333333,0.833333333333333,0.833333333333333,1,0.833333333333333,15,1,"Framingham/Worcester Line",0,75,75,NA,NA,NA,"Commuter Rail","Framingham/Worcester Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,"CR","Framingham/Worcester Line",0,-12.4090909090909,0,0,NA,75,"CR",4.33073334028633,NA,NA
"MLRP_08O1230AQsC6IVD",0.25,0,NA,NA,NA,NA,NA,"",1,NA,0,1,1,0.5,1,2,1,1,1,5,"02169",1,0.5,0.666666666666667,1,1,1,4,0,NA,NA,NA,NA,"2015-07-27 09:20:00","2015-07-27 09:24:59","2015-07-27 09:15:09","Subway","Red Line",590,540,0,299,4.98333333333333,9.83333333333333,1303.5,1317,1193,1193,1.09262363788768,0.5,0.5,1,-1,0,1,1,NA,2.55,1.26694760348732,2.55,"Subway","Red Line",1.26694760348732,-7.24871794871793,1,2,26.9333333333333,26.9333333333333,"Subway",3.32982071881993,291,4.85
"MLRP_09B1pLfYWvHUQgl",1,1,0,0,0,0,0,"",1,NA,0,0,NA,1,1,3,3,2,1,7,"2703",0,0,0,0,0.333333333333333,0,5,1,"Providence/Stoughton Line",NA,NA,NA,NA,NA,NA,"Commuter Rail","Providence/Stoughton Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR","Providence/Stoughton Line",NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_09FjFbUjhtu9zgN",1,1,0,0,0,0,0,"",1,NA,0,0,NA,1,1,3,3,1,0,4,"2053",0,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,5,1,"Franklin Line",0,70,70,"2015-07-21 06:49:00","2015-07-21 06:50:20","2015-07-21 06:48:09","Commuter Rail","Franklin Line",131,180,0,80,1.33333333333333,2.18333333333333,390.125,405,406,408,0.960899014778325,NA,NA,NA,NA,NA,NA,0,0,-0.21666666666667,0,-0.21666666666667,"Subway","Red Line",0,NA,0,0,8.08333333333333,8.08333333333333,"Subway",2.20644123244114,51,0.85
"MLRP_0ADKnJFTlI47f7v",1,1,0,0,0,0,0,"",1,NA,0,0,NA,NA,1,2,2,1,1,6,"1701",0,0.333333333333333,0.333333333333333,0.166666666666667,0.166666666666667,0,15,1,"Framingham/Worcester Line",NA,NA,NA,NA,NA,NA,"Commuter Rail","Framingham/Worcester Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR","Framingham/Worcester Line",NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_0BeLjzg1yW33v01",0.25,0,NA,NA,NA,NA,NA,"",1,NA,0,1,1,1,1,3,3,1,1,7,"02472",1,0.333333333333333,0.333333333333333,0.666666666666667,1,0.666666666666667,5,0,NA,NA,NA,NA,"2015-07-21 07:50:00","2015-07-21 07:52:15","2015-07-21 07:49:46","Bus","70",149,240,0,135,2.25,2.48333333333333,100.571428571429,110,100.714285714286,100,0.998581560283688,0.666666666666667,0.25,1,-1,0,0.4,1,NA,0.416666666666667,0.348306694268216,0.416666666666667,"Subway","Red Line",0.348306694268216,NA,0,0,4.08333333333333,4.08333333333333,"Subway",1.62596721438531,14,0.233333333333333
"MLRP_0BNC2D0tboXvhl3",NA,0,0,0,0,0,0,"",1,NA,0,0,NA,0.5,1,3,3,2,0,NA,"1915",0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_0c64cUt8TU2SQGF",NA,0,0,0,0,0,0,"",1,NA,0,0,0.4,1,1,3,2,1,1,7,"2176",1,0.833333333333333,0.833333333333333,0.666666666666667,0.833333333333333,0.833333333333333,5,0,NA,NA,NA,NA,"2015-07-20 15:44:00",NA,NA,"Subway","Orange Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0,-1,0.5,1,1,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_0C9XMZbP7rNEIsJ",1,1,0,0,0,0,0,"",1,NA,0,0,NA,0.75,1,2,1,1,1,7,"2130",0,0.333333333333333,0.333333333333333,0.166666666666667,0.166666666666667,0.166666666666667,60,1,"Framingham/Worcester Line",89,178,89,NA,NA,NA,"Commuter Rail","Framingham/Worcester Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,89,NA,NA,89,"CR","Framingham/Worcester Line",4.49980967033027,-11.4285714285714,4,3,NA,178,"CR",5.18738580584075,NA,NA
"MLRP_0cDESc2jKBaIeXP",1,1,0,0,0,0,0,"",1,NA,0,0,NA,1,1,2,2,1,1,7,"1760",0,0.666666666666667,0.666666666666667,0.833333333333333,1,0.833333333333333,8,1,"Framingham/Worcester Line",NA,NA,NA,NA,NA,NA,"Commuter Rail","Framingham/Worcester Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR","Framingham/Worcester Line",NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_0D0F3WjKcFetqNT",0.5,0,0,0,0,0,0,"",1,NA,0,0,NA,1,1,3,2,1,1,6,"2907",0,0.666666666666667,NA,NA,NA,NA,1,1,"Providence/Stoughton Line",NA,NA,NA,NA,NA,NA,"Commuter Rail","Providence/Stoughton Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR","Providence/Stoughton Line",NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_0dOGFviRVAUchE1",0.75,0,0,0,0,0,0,"",1,NA,0,0,NA,1,1,3,3,1,0,NA,"18455053",0,0.666666666666667,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_0DqOUdO8uOgO1nf",1,0,0,0,0,0,0,"",1,NA,0,0,1,0.75,1,3,2,1,1,8,"2148",1,0.666666666666667,0.166666666666667,0.666666666666667,0.5,0.666666666666667,6,0,NA,NA,NA,NA,"2015-07-23 13:00:00","2015-07-23 13:02:46","2015-07-23 12:54:42","Subway","Orange Line",484,480,0,166,2.76666666666667,8.06666666666667,1047.75,1014,1057,1057,0.991248817407758,0.5,0.5,1,-1,0.333333333333333,1,0,NA,-1.95,0,-1.95,"Subway","Orange Line",0,-2.33222222222222,0,0,19.6666666666667,19.6666666666667,"Subway",3.02852209637698,-166,-2.76666666666667
"MLRP_0ePAob53c5knKKh",NA,0,0,0,0,0,0,"",1,NA,0,0,NA,0.5,1,3,4,1,0,NA,"2151",0,0.5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_0eXmR8rPT33BUDr",1,0,0,0,0,0,0,"",1,NA,0,0,NA,0.75,1,2,1,1,1,7,"2446",0,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,5,0,NA,NA,NA,NA,"2015-07-21 08:50:00",NA,NA,"Subway","Green Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_0If9Tny7UFC7dLT",1,1,0,0,0,0,0,"",1,NA,0,0,0.8,1,1,5,4,1,1,7,"2760",1,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0,5,1,"Providence/Stoughton Line",NA,NA,NA,NA,NA,NA,"Commuter Rail","Providence/Stoughton Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,0.5,0,-1,0.166666666666667,0.6,1,NA,NA,NA,NA,"CR","Providence/Stoughton Line",NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_0iJ2IauGzuEotxz",0.75,1,0,0,0,0,1,"Rather not say.",0,NA,0,0,0.8,NA,1,3,3,1,1,6,"2375",1,0.666666666666667,0.166666666666667,0.5,0.666666666666667,0.5,5,1,"Providence/Stoughton Line",NA,NA,NA,NA,NA,NA,"Commuter Rail","Providence/Stoughton Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0,-1,0,0.4,1,NA,NA,NA,NA,"CR","Providence/Stoughton Line",NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_0j5i623rRxLtJNr",1,1,0,0,0,0,0,"",1,NA,0,0,NA,0.75,2,1,1,1,1,7,"2148",0,0.666666666666667,0.5,0.666666666666667,0.5,0.5,4,0,NA,NA,NA,NA,NA,NA,NA,"Bus","106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
