"","eval","beauty","female","age","minority","nonenglish","lower","course_id"
"1",4.3,5,1,36,1,0,0,3
"2",4.5,3,0,59,0,0,0,0
"3",3.7,3.33333333333333,0,51,0,0,0,4
"4",4.3,3.16666666666667,1,40,0,0,0,2
"5",4.4,7.33333333333333,1,31,0,0,0,0
"6",4.2,5.5,0,62,0,0,0,0
"7",4,4.16666666666667,1,33,0,0,0,4
"8",3.4,4,1,51,0,0,0,0
"9",4.5,4.66666666666667,1,33,0,0,0,0
"10",3.9,5.5,0,47,0,0,0,4
"11",3.1,4.83333333333333,0,35,1,1,0,4
"12",4,4.33333333333333,0,37,0,0,0,0
"13",3.8,4.83333333333333,0,42,0,0,0,0
"14",3.4,4,0,49,0,1,0,0
"15",2.9,5.5,1,37,0,0,0,9
"16",4.5,4.16666666666667,0,45,0,0,0,9
"17",4,2.5,1,56,0,0,0,10
"18",3.8,4.33333333333333,0,48,0,0,1,0
"19",4.3,4.33333333333333,1,46,0,0,0,0
"20",3.4,4.33333333333333,1,57,0,0,0,0
"21",3.4,4.83333333333333,1,52,0,0,0,9
"22",3.3,2.83333333333333,1,29,1,1,0,8
"23",4.3,3,0,62,0,0,0,10
"24",4.4,4.16666666666667,0,64,0,0,0,0
"25",4.6,7.83333333333333,1,34,0,0,0,0
"26",4.2,3.83333333333333,0,58,0,0,0,25
"27",4,4.83333333333333,0,52,1,1,0,17
"28",3.3,3,0,73,0,0,0,13
"29",4.4,3,0,70,0,0,0,19
"30",2.3,5.16666666666667,1,41,0,0,0,15
"31",3.5,4.33333333333333,0,63,0,0,0,12
"32",4.7,2.66666666666667,0,47,0,0,0,0
"33",3.9,5.5,0,39,0,0,1,0
"34",4,4.33333333333333,1,47,1,0,1,21
"35",4.3,2.33333333333333,0,54,0,0,0,16
"36",3.8,6.5,1,44,1,0,0,0
"37",3.8,2.33333333333333,0,47,1,0,0,16
"38",4,3,0,62,0,0,0,0
"39",4.6,3.66666666666667,0,60,0,0,0,0
"40",3.5,6.16666666666667,0,37,0,0,0,14
"41",4.7,4,0,42,0,0,0,0
"42",4.2,4.83333333333333,0,35,0,0,0,22
"43",3.4,8.16666666666667,1,39,0,0,1,21
"44",3.9,6.5,0,49,0,0,0,22
"45",4.5,4.83333333333333,0,61,0,0,1,21
"46",4.7,7,0,33,0,0,0,22
"47",3.5,4.66666666666667,1,58,0,0,0,23
"48",3.7,3.83333333333333,1,56,0,0,0,22
"49",4,3.16666666666667,1,50,0,0,1,21
"50",4.1,3.16666666666667,0,52,0,0,0,0
"51",4.4,5.83333333333333,1,33,0,0,0,0
"52",4.2,5.66666666666667,0,57,0,0,0,0
"53",4.5,6.5,1,38,0,0,0,1
"54",3.8,1.66666666666667,1,34,0,0,1,0
