name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
mannheim,2023-02-26,3.9,-2,0.7,-0.5,-5.6,-3.1,-5.7,63.1,0.4,100,12.5,"rain,snow",0,0,46.4,27.6,20.1,1018.3,45.3,13.5,112.1,9.6,4,10,2023-02-26T07:15:34,2023-02-26T18:03:25,0.2,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow in the morning and afternoon.,rain,"EDDF,ETOU,EDFM"
mannheim,2023-02-27,4.5,-2.4,0.6,0.9,-6.3,-2.9,-6.4,60.8,0,0,0,,0,0,39.6,16.6,36.6,1025.5,20.6,24.1,146.6,12.7,6,10,2023-02-27T07:13:35,2023-02-27T18:05:04,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
mannheim,2023-02-28,4.5,-2.5,0.5,1.4,-6.1,-2.8,-6.3,62.4,0,0,0,,0,0,35.6,14.4,39.1,1028,18.3,24.1,145.6,12.6,5,10,2023-02-28T07:11:36,2023-02-28T18:06:42,0.27,Clear,Clear conditions throughout the day.,clear-day,
mannheim,2023-03-01,6.9,-2.5,1.5,4.5,-5.1,-0.9,-4.1,67.1,0,0,0,,0,0,28.4,12.2,25.7,1024.9,0.6,24.1,146.2,12.8,5,10,2023-03-01T07:09:35,2023-03-01T18:08:20,0.3,Clear,Clear conditions throughout the day.,clear-day,
mannheim,2023-03-02,8.8,-1.4,2.8,7.3,-4,0.9,-1.5,74.2,0,0,0,,0,0,22.3,9,347.3,1019.9,14.7,24.1,149.6,13,6,10,2023-03-02T07:07:34,2023-03-02T18:09:58,0.33,Clear,Clear conditions throughout the day.,clear-day,
mannheim,2023-03-03,8.8,0.7,4.4,6.6,-1,2.5,-1.3,67.7,0,9.5,0,,0,0,27,13.3,318.1,1020.3,72.2,24,115.3,10.3,4,10,2023-03-03T07:05:32,2023-03-03T18:11:35,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
mannheim,2023-03-04,7.1,2,4.5,5.9,-0.2,2.6,-4.2,55.6,0.2,4.8,4.17,rain,0,0,26.3,14.4,355.7,1024.9,31,23.3,155.4,13.2,5,10,2023-03-04T07:03:30,2023-03-04T18:13:12,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
mannheim,2023-03-05,7.2,2,4.2,4.5,2,2.9,-2.3,63,0.4,4.8,12.5,rain,0,0,24.1,14.4,309.6,1025.5,84.8,24.1,60,5.1,3,10,2023-03-05T07:01:26,2023-03-05T18:14:49,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
mannheim,2023-03-06,8.4,1.3,4.7,7.2,0.6,3.8,-2.8,59.7,0,9.5,0,,0,0,14.2,7.9,299,1026.2,80.2,24.1,149.8,12.7,5,10,2023-03-06T06:59:23,2023-03-06T18:16:25,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
mannheim,2023-03-07,10.7,2.2,6.1,10.7,0.4,4.7,-0.8,62.4,0,9.5,0,,0,0,26.3,14.4,272.3,1021.3,52.1,24.1,147.4,12.8,5,10,2023-03-07T06:57:18,2023-03-07T18:18:02,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
mannheim,2023-03-08,8.5,4.6,6.5,6.6,4.6,5.7,0.5,66.2,0.1,33.3,4.17,rain,0,0,21.2,13,315.8,1022.3,70.9,24.1,62,5.7,2,10,2023-03-08T06:55:14,2023-03-08T18:19:38,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
mannheim,2023-03-09,11.5,2,6.3,11.5,2,5.8,-1.8,58.2,0,28.6,0,,0,0,37.4,10.4,243.5,1024.9,60.6,24.1,135,11.8,5,10,2023-03-09T06:53:08,2023-03-09T18:21:14,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
mannheim,2023-03-10,15.1,4.6,9.4,15.1,2.3,8.5,2.7,63.9,0,28.6,0,,0,0,31.7,10.8,215.9,1025,26.5,24.1,163.4,14.1,5,10,2023-03-10T06:51:02,2023-03-10T18:22:49,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
mannheim,2023-03-11,15.5,6,10.3,15.5,4.1,9.3,3.4,64.3,1.7,42.9,8.33,rain,0,0,63.4,29.2,235,1017.7,54.3,21.9,151.8,13.5,6,10,2023-03-11T06:48:56,2023-03-11T18:24:24,0.64,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
mannheim,2023-03-12,11.7,6.3,9.2,11.7,3.7,7.4,2.7,64.7,3,42.9,20.83,rain,0,0,49.4,21.6,265.1,1024.4,97.1,22.2,135.1,11.7,5,10,2023-03-12T06:46:50,2023-03-12T18:25:59,0.67,Overcast,Cloudy skies throughout the day.,cloudy,
