name;datetime;tempmax;tempmin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipprob;precipcover;preciptype;snow;snowdepth;windgust;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;severerisk;sunrise;sunset;moonphase;conditions;description;icon;stations
mannheim;2019-07-01;28,2;20,1;24,4;27,4;20,1;24,2;13,5;53,3;0,000;0,0;0,00;NA;0,0;0,0;NA;18,6;301,4;1016,0;22,8;10,0;291,4;25,2;9;NA;2019-07-01T05:23:30Z;2019-07-01T21:36:07Z;0,96;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;10633099999,10614099999
mannheim;2019-07-02;25,7;12,3;20,2;25,7;12,3;20,2;8,5;49,6;0,000;0,0;0,00;NA;0,0;0,0;NA;13,9;353,9;1020,5;3,3;10,0;354,6;30,8;9;NA;2019-07-02T05:24:09Z;2019-07-02T21:35:50Z;0,00;Clear;Clear conditions throughout the day.;clear-day;10633099999,10614099999
mannheim;2019-07-03;25,5;11,6;19,2;25,5;11,6;19,2;6,5;46,2;0,000;0,0;0,00;NA;0,0;0,0;NA;22,3;25,0;1021,7;0,0;10,0;356,3;30,8;9;NA;2019-07-03T05:24:49Z;2019-07-03T21:35:30Z;0,02;Clear;Clear conditions throughout the day.;clear-day;10633099999,10614099999
mannheim;2019-07-04;26,7;9,3;19,2;26,5;9,3;19,2;6,1;45,4;0,000;0,0;0,00;NA;0,0;0,0;NA;14,8;47,4;1021,8;0,0;10,0;361,5;31,4;9;NA;2019-07-04T05:25:32Z;2019-07-04T21:35:08Z;0,06;Clear;Clear conditions throughout the day.;clear-day;10633099999,10614099999
mannheim;2019-07-05;30,1;11,9;21,0;28,4;11,9;20,7;7,7;46,0;0,000;0,0;0,00;NA;0,0;0,0;NA;20,4;274,1;1017,2;13,3;10,0;274,4;23,8;9;NA;2019-07-05T05:26:17Z;2019-07-05T21:34:42Z;0,09;Clear;Clear conditions throughout the day.;clear-day;10633099999,10614099999
mannheim;2019-07-06;31,3;12,8;23,1;29,3;12,8;22,6;8,5;44,0;0,000;0,0;0,00;NA;0,0;0,0;NA;26,8;282,0;1011,2;14,2;10,0;323,2;27,9;9;NA;2019-07-06T05:27:04Z;2019-07-06T21:34:14Z;0,13;Clear;Clear conditions throughout the day.;clear-day;10633099999,10614099999,remote
mannheim;2019-07-07;21,6;15,0;18,0;21,6;15,0;18,0;11,1;65,6;2,422;100,0;25,00;rain;0,0;0,0;NA;13,9;312,6;1012,9;45,9;10,0;242,1;21,0;8;NA;2019-07-07T05:27:53Z;2019-07-07T21:33:43Z;0,16;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;10633099999,10614099999
mannheim;2019-07-08;20,0;9,6;15,5;20,0;9,6;15,5;6,7;58,2;0,000;0,0;0,00;NA;0,0;0,0;NA;15,7;1,7;1018,1;28,9;9,4;284,0;24,4;8;NA;2019-07-08T05:28:44Z;2019-07-08T21:33:09Z;0,20;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;10633099999,10614099999
mannheim;2019-07-09;20,7;7,8;14,4;20,7;7,8;14,4;5,7;59,4;0,000;0,0;0,00;NA;0,0;0,0;NA;17,7;14,9;1019,9;14,4;10,0;343,4;29,7;9;NA;2019-07-09T05:29:37Z;2019-07-09T21:32:33Z;0,25;Clear;Clear conditions throughout the day.;clear-day;10633099999,10614099999
mannheim;2019-07-10;24,8;6,6;16,8;24,8;6,6;16,8;5,3;52,3;0,000;0,0;0,00;NA;0,0;0,0;NA;10,3;160,1;1019,1;27,8;29,4;354,6;30,6;9;NA;2019-07-10T05:30:33Z;2019-07-10T21:31:54Z;0,27;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;01072,05275,00150,05906,05692,10614099999,05426
mannheim;2019-07-11;19,1;15,4;17,1;19,1;15,4;17,1;11,8;71,9;2,988;100,0;50,00;rain;0,0;0,0;NA;16,3;174,2;1015,1;74,4;27,9;121,6;10,2;4;NA;2019-07-11T05:31:29Z;2019-07-11T21:31:12Z;0,31;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;01072,05275,00150,05906,05692,05426
mannheim;2019-07-12;20,7;15,1;17,4;20,7;15,1;17,4;15,1;86,8;15,599;100,0;62,50;rain;0,0;0,0;NA;25,9;177,3;1012,6;58,3;19,6;184,7;16,0;7;NA;2019-07-12T05:32:28Z;2019-07-12T21:30:28Z;0,34;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;01072,05275,00150,05906,05692,05426
mannheim;2019-07-13;20,9;14,8;17,1;20,9;14,8;17,1;13,7;81,0;5,605;100,0;37,50;rain;0,0;0,0;NA;13,0;316,1;1016,6;32,4;17,7;253,1;22,0;8;NA;2019-07-13T05:33:28Z;2019-07-13T21:29:41Z;0,38;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;01072,05275,00150,05906,05692,05426
mannheim;2019-07-14;20,3;13,1;16,7;20,3;13,1;16,7;12,2;76,8;0,433;100,0;37,50;rain;0,0;0,0;NA;16,7;3,9;1017,5;34,6;16,9;224,5;19,3;6;NA;2019-07-14T05:34:31Z;2019-07-14T21:28:51Z;0,41;Rain, Partially cloudy;Partly cloudy throughout the day with a chance of rain throughout the day.;rain;01072,05275,00150,05906,05692,05426
mannheim;2019-07-15;22,9;12,8;17,6;22,9;12,8;17,6;10,7;65,3;0,000;0,0;0,00;NA;0,0;0,0;NA;24,8;351,2;1017,5;12,3;26,4;316,5;27,4;9;NA;2019-07-15T05:35:34Z;2019-07-15T21:27:59Z;0,45;Clear;Clear conditions throughout the day.;clear-day;01072,05275,00150,05906,05692,05426
