Stationsindex;Datum;VGSL;VPGB;VPGH;TS05;TS10;TS20;TS50;TS100;ZFUMI;BF10;BF20;BF30;BF40;BF50;BF60;BFGSL;BFGLS;TSLS05;TSSL05;ZTKMI;ZTUMI;VPGPM;VPMB;VPWB;VPZB;VGLS;VWLS;VWSL;BFWLS;BFWSL;eor
         5906;20230101;    0.8;    0.9;    1.0;    9.9;    9.8;    9.5;    8.3;    8.4;    0;   96;  100;  103;  103;  103;  103;  101;  101;    9.7;    9.9;    0;    0;    0.9;    0.9;    1.0;    0.9;    0.8;    0.6;    0.7;  100;  101;eor                                                            
         5906;20230102;    1.0;    1.1;    0.8;    9.7;    9.6;    9.4;    8.7;    8.5;    0;   94;   99;  102;  103;  103;  103;  101;  100;    9.5;    9.7;    0;    0;    1.2;    1.1;    1.2;    1.1;    1.0;    0.7;    0.9;   99;  100;eor                                                            
         5906;20230103;    0.4;    0.4;    0.6;    7.4;    7.8;    8.4;    8.8;    8.7;    0;   93;   98;  102;  103;  103;  103;  100;   99;    7.1;    7.4;    0;    0;    0.2;    0.4;    0.4;    0.4;    0.3;    0.2;    0.3;   99;  100;eor                                                            
         5906;20230104;    0.5;    0.5;    0.3;    6.7;    6.9;    7.4;    8.5;    8.8;    0;   93;   98;  102;  103;  103;  103;  100;   98;    6.6;    6.7;    0;    0;    0.7;    0.4;    0.5;    0.4;    0.5;    0.4;    0.4;   98;  100;eor                                                            
         5906;20230105;    0.7;    0.8;    0.9;    9.0;    8.8;    8.4;    8.4;    8.9;    0;   91;   97;  101;  103;  103;  103;  100;   97;    8.9;    9.0;    0;    0;    1.0;    0.8;    0.9;    0.8;    0.7;    0.5;    0.6;   98;   99;eor                                                            
         5906;20230106;    0.7;    0.7;    0.8;    8.9;    8.9;    8.8;    8.6;    9.0;    0;   91;   96;  101;  102;  103;  103;   99;   97;    8.8;    8.9;    0;    0;    0.7;    0.6;    0.7;    0.6;    0.7;    0.7;    0.7;   98;  100;eor                                                            
         5906;20230107;    0.7;    0.8;    1.0;    8.2;    8.4;    8.5;    8.7;    9.0;    0;   90;   95;  100;  102;  103;  103;   99;   96;    8.0;    8.2;    0;    0;    0.7;    0.8;    0.8;    0.8;    0.6;    0.4;    0.5;   97;   99;eor                                                            
         5906;20230108;    0.7;    0.7;    0.4;    7.9;    8.0;    8.2;    8.6;    9.1;    0;   99;   96;  100;  102;  103;  103;  100;   98;    7.8;    7.9;    0;    0;    0.6;    0.5;    0.6;    0.5;    0.7;    0.6;    0.6;  100;  101;eor                                                            
         5906;20230109;    0.8;    0.8;    0.4;    7.1;    7.4;    7.9;    8.6;    9.1;    0;  103;   96;  100;  102;  102;  103;  101;   99;    6.8;    7.0;    0;    0;    0.7;    0.5;    0.6;    0.5;    0.8;    0.6;    0.6;  102;  102;eor                                                            
         5906;20230110;    0.7;    0.7;    0.7;    5.8;    6.2;    7.0;    8.4;    9.1;    0;  100;   97;   99;  102;  102;  103;  101;   98;    5.4;    5.7;    0;    0;    0.9;    0.7;    0.8;    0.7;    0.7;    0.8;    0.8;  101;  102;eor                                                            
         5906;20230111;    0.6;    0.6;    0.2;    7.0;    7.0;    7.1;    8.1;    9.1;    0;  103;   98;   99;  101;  102;  103;  101;   99;    6.8;    6.9;    0;    0;    0.7;    0.5;    0.6;    0.5;    0.6;    0.6;    0.6;  103;  103;eor                                                            
         5906;20230112;    0.8;    0.8;    0.4;    7.4;    7.3;    7.4;    8.0;    9.1;    0;  100;   98;   99;  101;  102;  103;  101;   98;    7.2;    7.4;    0;    0;    1.2;    0.8;    0.9;    0.8;    0.7;    0.9;    0.9;  102;  102;eor                                                            
         5906;20230113;    1.3;    1.3;    0.8;    8.0;    8.0;    8.0;    8.2;    9.0;    0;   99;   97;   99;  101;  102;  103;  100;   97;    7.7;    7.9;    0;    0;    1.2;    1.1;    1.2;    1.1;    1.3;    1.2;    1.2;  101;  102;eor                                                            
         5906;20230114;    0.6;    0.6;    0.6;    6.7;    6.9;    7.3;    8.2;    9.0;    0;   99;   97;   99;  101;  102;  103;  100;   97;    6.5;    6.7;    0;    0;    0.9;    0.6;    0.7;    0.6;    0.6;    0.7;    0.7;  101;  102;eor                                                            
         5906;20230115;    1.0;    1.0;    0.6;    6.7;    7.0;    7.5;    8.2;    9.0;    0;  107;  105;  102;  103;  102;  103;  104;  103;    6.3;    6.6;    0;    0;    0.8;    0.6;    0.9;    0.6;    1.0;    0.9;    0.9;  108;  106;eor                                                            
         5906;20230116;    1.0;    1.0;    0.6;    4.6;    5.1;    6.2;    7.9;    9.0;    0;  103;  104;  103;  103;  102;  103;  103;  103;    4.1;    4.5;    0;    0;    1.1;    0.7;    0.8;    0.7;    1.0;    0.8;    0.8;  107;  105;eor                                                            
         5906;20230117;    0.6;    0.6;    0.7;    3.9;    4.4;    5.4;    7.5;    8.9;    0;  102;  103;  103;  103;  102;  103;  103;  102;    3.4;    3.8;    0;    0;    0.5;    0.6;    0.6;    0.6;    0.5;    0.6;    0.6;  105;  104;eor                                                            
