casename,judge_name,girls,any_girls,progressive_vote,republican,age,catholic,woman,african,hispanic,child,femplaintiff,area,religion,race,circuit,year
Dunaway v. Int'l Bhd. of Teamsters,"Sentelle, David B.",2,1,1,1,44,0,0,0,0,3,1,employment,3,1,DC,2002
Peyton v. DiMario,"Ginsburg, Douglas, H.",3,1,1,1,40,0,0,0,0,3,1,employment,5,1,DC,2002
Stella v. Mineta,"Ginsburg, Douglas, H.",3,1,1,1,40,0,0,0,0,3,1,employment,5,1,DC,2002
Makins v. District of Columbia,"Ginsburg, Douglas, H.",3,1,1,1,40,0,0,0,0,3,1,employment,5,1,DC,2002
"Davis v. Coastal Int'l Sec., Inc.","Ginsburg, Douglas, H.",3,1,0,1,40,0,0,0,0,3,0,employment,5,1,DC,2002
Stewart v. Evans,"Ginsburg, Douglas, H.",3,1,1,1,40,0,0,0,0,3,1,employment,5,1,DC,2002
Thomas v. NFL Players Ass'n,"Sentelle, David B.",2,1,1,1,44,0,0,0,0,3,1,employment,3,1,DC,2001
"LaPrade v. Kidder, Peabody & Co.","Williams, Stephen F.",2,1,0,1,50,NA,0,0,0,5,1,employment,NA,1,DC,2001
Evono v. Reno,"Silberman, Laurence H.",2,1,1,1,50,0,0,0,0,3,0,employment,5,1,DC,2000
Bailey v. Fannie Mae,"Edwards, Harry T.",1,1,1,0,40,0,0,1,0,2,0,employment,8,2,DC,2000
Jones v. Washington Metro. Area Transit Auth.,"Silberman, Laurence H.",2,1,1,1,50,0,0,0,0,3,1,employment,5,1,DC,2000
Borgo v. Goldin,"Edwards, Harry T.",1,1,0,0,40,0,0,1,0,2,1,employment,8,2,DC,2000
"Gleklen v. Democratic Congressional Campaign Comm., Inc.","Williams, Stephen F.",2,1,0,1,50,NA,0,0,0,5,1,pregnancy,NA,1,DC,2000
Brown v. Brody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,employment,NA,NA,DC,1999
Holbrook v. Reno,"Ginsburg, Douglas, H.",3,1,0,1,40,0,0,0,0,3,1,employment,5,1,DC,1999
Hill v. Henderson,"Edwards, Harry T.",1,1,0,0,40,0,0,1,0,2,0,employment,8,2,DC,1999
EEOC v. Lutheran Social Servs.,"Silberman, Laurence H.",2,1,1,1,50,0,0,0,0,3,1,employment,5,1,DC,1999
Martini v. Fannie Mae,"Williams, Stephen F.",2,1,0,1,50,NA,0,0,0,5,1,employment,NA,1,DC,1999
Carpenter v. Fannie Mae,"Edwards, Harry T.",1,1,0,0,40,0,0,1,0,2,1,employment,8,2,DC,1999
Carpenter v. Fannie Mae,"Williams, Stephen F.",2,1,0,1,50,NA,0,0,0,5,1,employment,NA,1,DC,1999
